CustomerID,FirstName,LastName,Email,RegistrationDate,Country,City,TotalSpent,Currency,Age,PhoneNumber,LastLoginDate
CUST001, david ,Okello,david.okello@email.com,15/01/2022,Uganda,Kampala,150000,UGX,34,+256772123456,20/08/2025
CUST002,Esther,Wanjiku,esther.w@email.com,2022-02-20,Kenya,Nairobi,5500,KES,28,0712345678,21/08/2025
CUST003,peter,Mugisha,peter.m@email,Mar 05, 2022,Rwanda,Kigali,350,$,45,250788123456,
CUST004,Fatuma,Juma,fatuma.juma@work.net,10/04/2022,Tanzania,Dar es Salaam,80000,TZS,31,+255755123456,15/07/2025
CUST005,DAVID,OKELLO,david.okello@email.com,12/05/2022,UG,Kla,75000,Shs,34,772123456,
CUST001, david ,Okello,david.okello@email.com,15/01/2022,Uganda,Kampala,150000,UGX,34,+256772123456,20/08/2025
CUST006,susan,Nankya,,18/01/2023,Uganda,Entebbe,250000,UGX,22,0782123456,19/08/2025
CUST007,john,Ochieng,john.ochieng@mail,2023-02-22,KE,Niarobi,2500,Ksh,50,+254722123456,
CUST008,Alice,Uwase,alice.u@email.com,Apr 10, 2023,Rwanda,Kigali,-5000,RWF,29,0788888888,22/08/2025
CUST009,bob,Kato,bob@email.com,15/05/2023,uganda,Kmapala,95000,UGX,150,256752123456,18/08/2025
CUST010,linda,Achieng,linda.a@email.com,20/06/2023,Kenya,Nrb,1250000,KES,41,722222222,
CUST011, emmanuel ,Bwire,emmanuel.b@email.com,Jul 01, 2023,Uganda,Jinja,45000,UGX,38,0701123456,25/08/2025
CUST012,mary,Kimani,mary.k@email,11/08/2023,Kenya,Nairobi,6200,KES,25,0711111111,
CUST013,chris,Byamukama,chris.b@email.com,14/09/2023,UG,Mbarara,30000,,40,0777123456,24/08/2025
CUST014,SARAH,Njoroge,sarah.n@email.com,30/10/2024,KE,Nairobi,12000,Ksh,33,0733123456,
CUST015,kevin,Ouma,kevin.ouma@email.com,Nov 15, 2024,Kenya,Mombasa,7500,KES,27,700123456,23/08/2025
CUST016,grace,Mutesi,grace.m@mail.com,01/12/2024,Rwanda,Kigali,40000,-5,250789123456,
CUST017,jason,Lema,jason.lema@email.com,Jan 20, 2025,Tanzania,Arusha,120000,TZS,42,+255713123456,22/08/2025
CUST018,lisa,Auma,lisa.auma,25/02/2025,Uganda,Gulu,85000,Shs,39,0788123456,
CUST019,Mark,Kamau,mark.k@email.com,Mar 10, 2025,Kenya,Nrb,4500,KES,26,0721123456,21/08/2025
CUST020,  cust020,Mercy,Chebet,mercy.c@email.com,18/04/2025,KE,Eldoret,3200,Ksh,31,0723123456,
CUST021,Brian,Kibirige,brian.k@email.com,May 05, 2025,Uganda,Kampala,320000,UGX,55,752123456,25/08/2025
CUST022,rebecca,Mwangi,rebecca.m,30/06/2025,Kenya,Nairobi,1500,KES,23,0715123456,
CUST023,jessica,Habimana,jessica.h@email.com,Jul 12, 2025,Rwanda,Kigali,250,USD,,0789123456,20/08/2025
CUST024,andrew,Kariuki,andrew.k@email.com,01/08/2025,Kenya,Nairobi,22000,KES,48,724123456,19/08/2025
CUST025,olivia,Namubiru,olivia.n@email.com,Aug 15, 2025,UG,Entebbe,95000,Shs,36,0776123456,
CUST026,daniel,Bakari,daniel.b@email.com,16/01/2022,Tanzania,Dar es Salaam,90000,TZS,30,+255718123456,23/08/2025
CUST027,sophia,Waweru,sophia.w@email.com,21/02/2022,Kenya,Nairobi,8800,Ksh,29,0725123456,
CUST028,matthew,Gatete,matthew.g@email,Mar 06, 2022,Rwanda,Kigali,150,$,46,250787123456,24/08/2025
CUST029,brenda,Onyango,brenda.o@work.net,11/04/2022,KE,Kisumu,4800,KES,33,0726123456,
CUST030,WILLIAM,Kasumba,william.k@email.com,13/05/2022,Uganda,Kampala,180000,UGX,36,774123456,21/08/2025
CUST031,isabella,Musoke,isabella.m@email.com,15/01/2022,UG,Kla,220000,UGX,34,0781123456,20/08/2025
CUST032,james,Otieno,james.o@email.com,20/02/2022,Kenya,Nairobi,15000,KES,27,0713123456,
CUST033,sandra,Ngobi,sandra.ngobi@email,Mar 05, 2022,Uganda,Jinja,55000,Shs,44,0753123456,15/07/2025
CUST034,ethan,Maina,ethan.maina@work.net,10/04/2022,Kenya,Nairobi,6500,KES,31,0734123456,
CUST035,oliver,Ssempijja,oliver.s@email.com,12/05/2022,UGANDA,Kmapala,92000,UGX,37,0773123456,19/08/2025
CUST010,linda,Achieng,linda.a@email.com,20/06/2023,Kenya,Nrb,1250000,KES,41,722222222,
CUST036,amelia,Massawe,amelia.m@email.com,18/01/2023,Tanzania,Arusha,110000,TZS,21,+255756123456,18/08/2025
CUST037,benjamin,Mutai,benjamin-m@mail,22/02/2023,KE,Eldoret,3000,Ksh,51,0718123456,
CUST038,charlotte,Tumwine,charlotte.t@email.com,Apr 10, 2023,Uganda,Mbarara,70000,UGX,28,0783123456,22/08/2025
CUST039,lucas,Keita,lucas.k@email.com,15/05/2023,Rwanda,Kigali,200,$,43,250733123456,
CUST040,harper,Abdi,harper.a@email.com,20/06/2023,Kenya,Mombasa,9500,KES,40,0701123456,25/08/2025
CUST041,henry,Kagame,henry.k@email.com,Jul 01, 2023,Rwanda,Kigali,300,USD,37,0785123456,
